sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.991,0.163,0.772,0.065,1.1,98.72,2.6,10,429,360,55,13,Jodeci,Stay,15667
0.9975,0.191,0.792,0.017,-0.4,107.69,2.5,9,451,400,67,21,Luther Vandross,The Rush,15668
0.9945,0.151,0.826,0.022,0.8,99.63,2.34,15,495,418,74,40,Martika,Martika's Kitchen,15669
0.9892,0.223,0.709,0.068,0.4,100.54,2.08,10,228,198,42,9,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),15670
-0.9941,0.025,0.808,0.167,1.2,98.51,2.92,17,399,336,50,16,Skid Row,Wasted Time,15671
0.9929,0.324,0.566,0.11,0.4,100.44,1.92,6,241,203,42,9,BeBe & CeCe Winans Featuring Mavis Staples,I'll Take You There,15672
-0.9575,0.065,0.792,0.144,1.7,97.3,3.93,16,303,261,33,6,The Northern Pikes,She Ain't Pretty,15673
0.9904,0.183,0.729,0.089,0.4,105.96,3.18,22,476,414,54,0,2nd II None,Be True To Yourself,15674
1.0,0.137,0.783,0.079,32.6,11.29,34.13,3285,171218,135771,1611,2,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love,15675
0.661,0.15,0.692,0.157,0.5,105.66,3.2,2,220,192,24,15,Blur,There's No Other Way,15676
0.9048,0.053,0.864,0.082,-0.8,108.8,2.23,8,506,445,90,63,Paula Abdul,Vibeology,15677
0.9975,0.343,0.633,0.025,-0.7,108.6,2.42,4,236,211,41,12,Amy Grant,Good For Me,15678
0.7351,0.04,0.935,0.025,2.5,89.75,3.79,25,480,365,52,15,P.M. Dawn,Paper Doll,15679
1.0,0.135,0.789,0.076,18.9,41.6,19.41,7411,197553,145725,3161,0,Rhythm Syndicate,Blinded By Love,15680
0.9918,0.108,0.863,0.029,0.6,105.45,3.71,28,637,564,69,7,M.C. Brains,Oochie Coochie,15681
-0.7383,0.108,0.742,0.149,1.3,92.8,2.2,5,167,133,33,9,Celine Dion And Peabo Bryson,Beauty And The Beast,15682
0.9852,0.116,0.838,0.046,1.4,98.01,3.15,25,691,587,81,2,Charm,Butt Naked,15683
0.9864,0.147,0.778,0.075,0.4,105.96,3.2,10,384,347,45,14,RTZ,Until Your Love Comes Back Around,15684
0.9963,0.158,0.837,0.005,0.8,99.53,2.5,8,445,371,65,24,Michael Jackson,Remember The Time,15685
-0.9911,0.063,0.736,0.201,1.4,97.91,3.31,10,357,305,42,13,Michael Bolton,Missing You Now,15686
0.8024,0.123,0.769,0.108,-0.7,108.5,2.08,10,361,319,61,47,Erin Cruise,Cold Shower,15687
0.7559,0.138,0.773,0.089,1.1,98.72,3.43,15,297,242,37,10,Simply Red,Stars,15688
-0.3662,0.094,0.808,0.098,0.2,106.37,2.92,11,556,504,69,36,Giggles,What Goes Around Comes Around,15689
0.9989,0.41,0.542,0.048,2.1,96.08,4.34,8,282,227,25,14,Tony Terry,Everlasting Love,15690
0.9977,0.299,0.669,0.032,0.5,100.34,2.43,10,314,258,53,5,Atlantic Starr,Masterpiece,15691
0.998,0.216,0.703,0.081,0.6,105.45,3.44,30,546,485,59,7,Salt-N-Pepa,You Showed Me,15692
0.9606,0.082,0.903,0.015,0.8,99.43,2.58,10,366,307,53,25,The KLF Featuring Tammy Wynette,Justified And Ancient,15693
0.9961,0.281,0.635,0.084,1.7,91.68,2.67,18,322,255,50,7,Paul Young,What Becomes Of The Brokenhearted,15694
0.9931,0.261,0.667,0.072,1.3,98.11,3.24,9,239,198,28,0,Color Me Badd,Thinkin' Back,15695
-0.3582,0.076,0.834,0.09,1.3,98.11,2.84,11,307,263,37,8,Genesis,I Can't Dance,15696
-0.743,0.023,0.921,0.056,-0.3,107.58,3.2,6,173,158,26,14,John Mellencamp,Again Tonight,15697
0.9989,0.351,0.581,0.068,1.3,103.73,4.35,5,339,307,31,18,CeCe Peniston,We Got A Love Thang,15698
-0.986,0.085,0.816,0.1,7.9,48.67,4.7,383,3219,1800,310,0,Chris Cuevas,You Are The One,15699
0.9953,0.248,0.732,0.02,0.2,106.57,2.84,4,248,228,32,8,Vanessa Williams,Save The Best For Last,15700
0.9899,0.203,0.781,0.016,2.1,96.18,3.6,3,231,199,22,8,The Smithereens,Too Much Passion,15701
0.9857,0.223,0.751,0.026,0.7,105.05,3.44,2,172,154,18,4,Eric Clapton,Tears In Heaven,15702
0.9905,0.123,0.849,0.028,1.2,109.24,5.21,7,450,434,34,22,MC Luscious,Boom! I Got Your Boyfriend,15703
-0.9982,0.081,0.751,0.168,2.2,95.98,3.93,53,953,801,87,3,Naughty By Nature,Everything's Gonna Be Alright,15704
0.9001,0.187,0.72,0.093,-0.6,108.29,2.16,3,186,174,32,13,The Williams Brothers,Can't Cry Hard Enough,15705
-0.8423,0.04,0.862,0.098,0.8,99.53,2.95,10,211,178,31,3,Van Halen,Right Now,15706
-0.0258,0.085,0.801,0.113,1.5,97.7,3.95,13,246,211,28,4,Richard Marx,Hazard,15707
0.7019,0.072,0.851,0.077,1.1,98.82,2.96,14,363,300,47,18,Marky Mark & The Funky Bunch,I Need Money,15708
-0.6674,0.161,0.661,0.178,-0.2,107.18,2.78,1,253,221,34,12,Ozzy Osbourne,"Mama, I'm Coming Home",15709
0.9354,0.074,0.899,0.026,1.0,99.02,2.59,13,440,378,61,30,Big Audio,The Globe,15710
0.9783,0.16,0.777,0.064,1.0,98.92,2.66,5,334,288,46,18,NKOTB,If You Go Away,15711
0.9994,0.358,0.635,0.007,3.3,87.72,3.73,4,394,314,35,28,Kathy Troccoli,Everything Changes,15712
0.9636,0.08,0.893,0.027,0.1,106.77,2.76,7,642,564,82,38,Mariah Carey,Make It Happen,15713
0.9977,0.245,0.717,0.038,0.6,99.94,2.35,11,429,354,67,21,Stacy Earl (Featuring The Wild Pair),Romeo & Juliet,15714
0.9944,0.249,0.751,0.0,1.9,91.27,3.29,12,297,221,40,19,Nia Peeples,Kissing The Wind,15715
-0.9922,0.104,0.717,0.179,0.8,104.84,4.05,19,870,759,86,48,TLC,Ain't 2 Proud 2 Beg,15716
-0.9861,0.126,0.707,0.167,0.7,105.25,4.2,47,712,620,74,1,Eric B. & Rakim,Juice (Know The Ledge),15717
0.9822,0.204,0.778,0.018,0.3,106.16,3.53,2,164,150,20,2,Roxette,Church Of Your Heart,15718
0.4215,0.037,0.963,0.0,0.6,99.94,2.66,5,91,74,14,5,Enya,Caribbean Blue,15719
0.9989,0.355,0.645,0.0,-0.9,114.42,3.08,2,315,308,40,22,Lidell Townsell,Nu Nu,15720
0.9954,0.099,0.868,0.033,1.0,104.44,4.12,41,912,827,90,21,Black Sheep,The Choice Is Yours,15721
0.822,0.059,0.92,0.021,-0.1,107.08,2.64,3,374,332,50,28,Cause And Effect,You Think You Know Her,15722
0.9974,0.268,0.692,0.04,0.7,99.73,2.63,6,329,282,51,31,Shawn Christopher,Don't Lose The Magic,15723
0.908,0.154,0.76,0.086,1.4,97.91,3.37,9,206,176,24,4,Jody Watley,I'm The One You Need,15724
0.9964,0.219,0.721,0.061,1.4,98.01,3.0,9,383,332,46,12,Lisa Stansfield,All Woman,15725
0.9938,0.143,0.788,0.069,2.0,101.7,4.95,30,959,846,71,22,MC Lyte,Poor Georgie,15726
0.9843,0.178,0.789,0.033,0.4,105.96,3.44,6,374,338,44,22,Degrees Of Motion,Do You Want It Right Now,15727
0.9988,0.124,0.811,0.065,16.0,22.34,15.76,454,3208,1730,74,0,One 2 One,Peace Of Mind (Love Goes On),15728
1.0,0.118,0.794,0.088,9.2,66.78,10.94,3024,26546,19651,921,0,St. Etienne,Only Love Can Break Your Heart,15729
0.9829,0.178,0.778,0.043,0.7,99.73,2.2,9,363,299,54,28,Curtis Stigers,You're All That Matters To Me,15730
-0.4725,0.088,0.829,0.083,1.6,97.5,3.73,15,438,370,48,6,Joe Public,Live And Learn,15731
0.8516,0.122,0.786,0.093,0.2,106.57,3.09,15,367,320,45,14,M.C. Hammer,Do Not Pass Me By,15732
0.9936,0.152,0.765,0.083,1.8,96.79,3.91,40,763,655,78,0,Chris Walker,Take Time,15733
0.9804,0.235,0.587,0.177,2.6,89.34,3.08,10,426,339,46,20,Bryan Adams,Thought I'd Died And Gone To Heaven,15734
0.986,0.162,0.768,0.07,1.4,98.01,3.33,11,306,266,37,4,U2,One,15735
-0.8621,0.07,0.835,0.094,-0.5,107.99,2.49,7,420,374,66,22,Aaron Hall,Don't Be Afraid,15736
0.9929,0.113,0.848,0.039,2.1,90.66,2.59,25,693,526,86,36,R. Kelly & Public Announcement,She's Got That Vibe,15737
-0.8384,0.049,0.871,0.079,0.6,100.14,2.04,8,268,226,44,11,L.A. Guns,It's Over Now,15738
1.0,0.16,0.752,0.089,6.6,78.99,8.6,629,9579,7267,413,0,Bruce Springsteen,Human Touch/Better Days,15739
0.982,0.324,0.632,0.044,0.0,106.97,2.68,1,151,133,20,18,Nirvana,Come As You Are,15740
-0.7934,0.088,0.797,0.115,2.4,89.95,2.72,7,673,512,75,54,En Vogue,My Lovin' (You're Never Gonna Get It),15741
0.798,0.041,0.928,0.031,0.4,100.44,1.92,2,687,581,120,80,Luke,I Wanna Rock,15742
0.6798,0.086,0.846,0.068,0.8,99.63,2.59,16,395,342,61,5,2 Hyped Brothers & A Dog,Doo Doo Brown,15743
0.9998,0.107,0.803,0.09,6.4,85.02,8.78,654,13026,10514,526,2,Geoffrey Williams,It's Not A Love Thing,15744
-0.9136,0.034,0.873,0.093,0.2,106.37,2.92,8,218,203,28,13,Warrant,We Will Rock You,15745
-0.9579,0.061,0.766,0.173,0.8,99.53,2.46,3,277,224,39,20,Metallica,Nothing Else Matters,15746
0.9977,0.295,0.653,0.051,-0.4,107.79,3.01,8,279,247,42,8,Tracie Spencer,Love Me,15747
-0.8193,0.108,0.746,0.146,0.5,105.76,3.41,5,353,315,40,20,Laura Enea,This Is The Last Time,15748
0.9465,0.077,0.877,0.046,2.2,95.88,4.19,55,605,509,55,1,Prince And The N.P.G.,Money Don't Matter 2 Night,15749
0.996,0.281,0.598,0.122,2.3,90.16,2.8,7,316,249,38,16,Seal,Killer,15750
0.9502,0.051,0.934,0.015,2.5,89.75,3.1,16,666,529,76,38,Kris Kross,Jump,15751
-0.9961,0.033,0.713,0.254,1.3,98.21,3.26,7,313,260,37,4,Ugly Kid Joe,Everything About You,15752
0.946,0.089,0.905,0.005,-0.6,113.61,3.4,3,240,229,27,2,The Cure,High,15753
0.9942,0.163,0.828,0.009,1.7,97.2,3.46,8,387,312,39,23,Paula Abdul,Will You Marry Me?,15754
0.9963,0.321,0.571,0.108,0.5,105.55,3.39,4,287,259,32,7,Red Hot Chili Peppers,Under The Bridge,15755
0.9951,0.175,0.817,0.008,-0.3,107.58,2.67,6,387,344,56,26,Boyz II Men,Please Don't Go,15756
0.9833,0.113,0.819,0.068,1.5,97.8,3.34,17,614,531,72,43,TKA,Maria,15757
0.9942,0.152,0.828,0.02,0.8,99.43,2.4,8,562,483,84,42,Jodeci,Come & Talk To Me,15758
0.9953,0.159,0.796,0.045,1.0,104.44,3.83,15,563,524,57,19,2nd II None,If You Want It,15759
0.9217,0.08,0.866,0.054,0.7,105.05,3.9,11,575,522,61,19,Def Leppard,Let's Get Rocked,15760
0.7646,0.078,0.868,0.054,1.3,98.21,3.28,40,776,661,94,6,Sir Mix-A-Lot,Baby Got Back,15761
0.11,0.088,0.819,0.093,2.5,89.65,3.84,42,613,480,68,10,Arrested Development,Tennessee,15762
0.9128,0.093,0.856,0.052,1.7,97.2,3.65,11,207,177,22,6,Mr. Big,Just Take My Heart,15763
-0.9571,0.034,0.84,0.126,-0.4,107.69,2.4,5,226,198,33,1,Tevin Campbell,Goodbye,15764
0.9753,0.135,0.799,0.066,0.1,106.67,2.93,9,335,309,44,14,Howard Jones,Lift Me Up,15765
-0.9953,0.089,0.625,0.287,1.1,98.72,4.13,20,214,183,28,7,L.A. Style,James Brown Is Dead,15766
0.5389,0.145,0.705,0.15,1.7,97.09,3.79,20,611,508,63,2,Keith Sweat,Why Me Baby?,15767
0.9982,0.271,0.622,0.106,0.0,106.87,2.88,15,557,486,72,29,Sophie B. Hawkins,Damn I Wish I Was Your Lover,15768
0.9244,0.163,0.726,0.111,2.5,89.75,3.94,15,220,175,25,3,Bonnie Raitt,Not The Only One,15769
0.9885,0.262,0.603,0.134,-0.4,107.69,2.58,6,247,221,37,24,Right Said Fred,Don't Talk Just Kiss,15770
0.9947,0.171,0.773,0.057,1.2,98.41,3.08,26,670,551,81,29,Brotherhood Creed,Helluva,15771
0.9963,0.196,0.725,0.079,-0.2,107.18,2.7,7,444,392,60,15,Tesla,What You Give,15772
-0.9909,0.145,0.666,0.189,1.3,98.11,3.2,28,692,555,78,16,Kid Frost,No Sunshine,15773
-0.92,0.015,0.874,0.111,2.2,90.46,2.82,6,346,270,43,14,Jon Secada,Just Another Day,15774
0.9872,0.116,0.852,0.032,-0.6,108.19,2.27,11,615,536,98,40,Michael Jackson,In The Closet,15775
0.9436,0.066,0.926,0.008,1.3,98.11,2.98,7,331,282,40,12,Celine Dion,If You Asked Me To,15776
0.9783,0.171,0.808,0.022,0.3,106.16,3.0,2,229,203,27,16,Shanice,Silent Prayer,15777
0.9843,0.181,0.79,0.029,2.1,90.77,2.86,9,219,175,29,8,Amy Grant,I Will Remember You,15778
0.9607,0.154,0.767,0.078,0.8,99.43,2.97,8,218,186,32,4,Chaka Khan,Love You All My Lifetime,15779
0.9962,0.211,0.768,0.021,0.9,104.54,4.06,8,318,283,31,8,Rod Stewart,Your Song,15780
0.8712,0.082,0.876,0.042,1.2,98.51,3.85,25,287,240,36,5,"""Weird Al"" Yankovic",Smells Like Nirvana,15781
0.8591,0.117,0.827,0.056,0.3,100.75,2.09,12,319,277,61,37,Lightning Seeds,The Life Of Riley,15782
0.8225,0.09,0.884,0.025,-0.7,108.6,2.04,7,234,209,41,14,Genesis,Hold On My Heart,15783
0.9837,0.1,0.872,0.028,-0.3,107.38,2.7,11,485,443,70,45,Riff,White Men Can't Jump,15784
0.83,0.158,0.759,0.083,0.6,99.94,2.41,6,161,138,26,3,Mitch Malloy,Anything At All,15785
0.9975,0.217,0.732,0.051,-0.3,107.58,2.44,10,455,411,67,14,Lionel Richie,Do It To Me,15786
0.9766,0.19,0.704,0.105,1.0,99.02,2.68,6,233,197,32,11,Colourhaus,Innocent Child,15787
-0.9628,0.037,0.864,0.099,0.8,104.84,3.8,4,305,281,32,9,Billy Ray Cyrus,Achy Breaky Heart,15788
0.9921,0.14,0.86,0.0,1.4,98.01,3.26,8,372,315,44,22,Linear,T.L.C.,15789
0.852,0.084,0.872,0.043,1.9,96.59,4.17,60,796,660,77,19,Das EFX,They Want EFX,15790
0.9993,0.322,0.617,0.061,0.9,99.12,2.44,6,481,411,67,44,Kym Sims,Take My Advice,15791
0.9367,0.158,0.743,0.099,-0.5,107.99,2.47,2,230,212,37,10,Wilson Phillips,You Won't See Me Cry,15792
0.8944,0.07,0.88,0.05,1.7,97.2,3.73,33,533,449,56,8,Nice & Smooth,Sometimes I Rhyme Slow,15793
0.9986,0.203,0.741,0.057,1.5,92.19,2.91,45,756,599,131,0,Good 2 Go,Never Satisfied,15794
-0.9705,0.106,0.746,0.148,1.7,97.09,3.61,14,395,324,40,14,Color Me Badd,Slow Motion,15795
0.9794,0.125,0.855,0.02,0.0,106.87,3.05,12,404,362,53,18,Tom Cochrane,Life Is A Highway,15796
-0.4956,0.043,0.892,0.065,1.2,98.51,2.68,6,245,201,30,10,The Outfield,Closer To Me,15797
0.99,0.198,0.729,0.073,1.1,98.82,2.93,12,263,218,34,12,Eddie Money,Fall In Love Again,15798
0.9774,0.155,0.716,0.129,1.4,98.01,3.68,74,1106,897,124,27,Mocca Soul,Losing You,15799
-0.9817,0.046,0.803,0.151,0.5,105.55,3.51,11,330,292,36,9,Annie Lennox,Why,15800
0.9957,0.121,0.859,0.019,-0.3,107.58,2.66,27,801,712,117,27,M.C. Hammer,This Is The Way We Roll,15801
0.9782,0.178,0.785,0.036,-0.3,107.58,2.82,6,236,213,35,1,Vanessa Williams,Just For Tonight,15802
-0.4486,0.031,0.918,0.051,-0.7,108.5,2.39,10,282,254,49,13,CeCe Peniston,Keep On Walkin',15803
0.9985,0.285,0.709,0.005,3.4,92.73,5.08,10,407,334,27,3,R. Kelly & Public Announcement,Honey Love,15804
-0.962,0.054,0.857,0.089,0.5,100.24,2.47,42,611,513,102,8,The College Boyz,Victim Of The Ghetto,15805
0.9981,0.295,0.705,0.0,-0.6,108.29,2.76,10,295,265,49,18,Mariah Carey,I'll Be There,15806
0.9997,0.302,0.673,0.024,1.5,97.6,3.36,18,724,629,83,19,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are Free,15807
0.9957,0.211,0.789,0.0,0.6,100.14,2.04,6,378,325,64,23,The Cover Girls,Wishing On A Star,15808
0.9585,0.275,0.578,0.147,1.2,98.41,3.61,8,162,135,20,1,Midi Maxi & Efti,Bad Bad Boys,15809
0.9993,0.237,0.763,0.0,1.3,98.11,3.14,11,652,537,76,40,TLC,Baby-Baby-Baby,15810
0.9886,0.221,0.779,0.0,0.5,100.34,2.21,11,196,157,32,3,Tevin Campbell,Strawberry Letter 23,15811
0.103,0.106,0.795,0.1,2.3,95.67,3.88,19,606,511,54,16,Kris Kross,Warm It Up,15812
0.9564,0.099,0.823,0.079,1.7,97.3,4.01,72,984,804,102,10,A Tribe Called Quest,Scenario,15813
0.9965,0.26,0.7,0.041,1.5,97.8,3.27,6,322,260,35,10,En Vogue,Giving Him Something He Can Feel,15814
0.9981,0.267,0.705,0.028,1.2,98.41,2.72,12,404,334,49,18,George Michael,Too Funky,15815
0.9861,0.19,0.746,0.064,1.8,91.48,2.3,9,283,219,41,12,The Cure,Friday I'm In Love,15816
0.0963,0.069,0.851,0.08,-0.3,107.48,2.67,5,237,212,34,11,Richard Marx,Take This Heart,15817
0.9647,0.133,0.842,0.025,2.2,90.56,2.63,6,328,260,42,8,The Black Crowes,Remedy,15818
0.6467,0.067,0.879,0.054,2.3,90.16,3.73,21,321,256,39,7,2 Unlimited,Twilight Zone,15819
-0.8105,0.047,0.868,0.085,-0.7,108.6,2.04,14,640,566,112,67,Technotronic Featuring Ya Kid K,Move This,15820
0.9987,0.164,0.793,0.044,2.1,90.77,2.68,23,940,715,120,44,Troop,Whatever It Takes (To Make You Stay),15821
1.0,0.122,0.782,0.097,4.4,79.36,5.39,2975,31476,23012,2594,16,Mary J. Blige,"You Remind Me (From ""Strictly Business"")",15822
0.9887,0.141,0.859,0.0,4.4,79.36,4.14,19,378,276,31,12,Bruce Springsteen,57 Channels (And Nothin' On),15823
-0.3232,0.102,0.774,0.124,0.6,99.94,3.02,9,154,133,25,1,Curtis Stigers,Sleeping With The Lights On,15824
0.978,0.151,0.82,0.029,0.5,100.34,2.74,11,245,204,42,6,Mint Condition,Forever In Your Eyes,15825
0.9912,0.281,0.613,0.106,-2.0,117.26,1.96,2,259,249,51,32,K.W.S.,Please Don't Go,15826
0.9801,0.135,0.817,0.048,0.8,99.63,2.39,11,314,262,47,14,Stacy Earl,Slowly,15827
0.8576,0.091,0.837,0.072,1.4,98.01,2.99,9,437,372,52,14,Guns N' Roses,November Rain,15828
0.9975,0.291,0.688,0.021,1.3,98.31,2.76,8,323,270,39,7,Def Leppard,Make Love Like A Man,15829
0.9986,0.171,0.797,0.032,1.6,97.4,3.73,44,810,660,85,0,Pete Rock & C.L. Smooth,They Reminisce Over You (T.R.O.Y.),15830
0.9744,0.18,0.708,0.112,1.0,99.02,2.8,13,308,248,40,15,Elton John,The One,15831
0.684,0.089,0.879,0.032,0.1,106.77,3.15,6,237,207,30,11,Toad The Wet Sprocket,All I Want,15832
0.9747,0.148,0.807,0.045,0.5,100.34,2.36,10,232,199,41,3,Nia Peeples,Faces Of Love,15833
-0.9503,0.071,0.838,0.091,2.0,101.9,4.92,18,557,501,43,30,House Of Pain,Jump Around,15834
0.9964,0.41,0.56,0.03,2.4,89.85,3.37,7,174,132,19,8,Rozalla,Everybody's Free (To Feel Good),15835
